Source,Target,Attributes
"CROATTI, ANGELO","RICCI, ALESSANDRO",{'weight': 0.4}
"CROATTI, ANGELO","VIROLI, MIRKO",{'weight': 0.3}
"CROATTI, ANGELO","OMICINI, ANDREA",{'weight': 0.05}
"CROATTI, ANGELO","MARIANI, STEFANO",{'weight': 0.05}
"CROATTI, ANGELO","PIANINI, DANILO",{'weight': 0.15}
"PIANCASTELLI, GIULIO","OMICINI, ANDREA",{'weight': 0.25}
"PIANCASTELLI, GIULIO","DENTI, ENRICO",{'weight': 0.15}
"PIANCASTELLI, GIULIO","BENINI, ALEX",{'weight': 0.05}
"PIANCASTELLI, GIULIO","RICCI, ALESSANDRO",{'weight': 0.15}
"PIANCASTELLI, GIULIO","VIROLI, MIRKO",{'weight': 0.1}
"CASADEI, MATTEO","MOLESINI, AMBRA",{'weight': 0.05}
"CASADEI, MATTEO","OMICINI, ANDREA",{'weight': 0.5}
"CASADEI, MATTEO","VIROLI, MIRKO",{'weight': 1.45}
"CASADEI, MATTEO","MONTAGNA, SARA",{'weight': 0.1}
"CASADEI, MATTEO","NARDINI, ELENA",{'weight': 0.15}
"CASADEI, MATTEO","GARDELLI, LUCA",{'weight': 0.45}
"CASADEI, MATTEO","GAFFURI, PIETRO",{'weight': 0.05}
"OMICINI, ANDREA","CIATTO, GIOVANNI",{'weight': 0.1}
"OMICINI, ANDREA","Mariani, Stefano",{'weight': 0.1}
"OMICINI, ANDREA","CALEGARI, ROBERTA",{'weight': 0.3}
"OMICINI, ANDREA","DENTI, ENRICO",{'weight': 1.4}
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
"OMICINI, ANDREA","VIROLI, MIRKO",{'weight': 4.15}
"OMICINI, ANDREA","MARIANI, STEFANO",{'weight': 1.35}
"OMICINI, ANDREA","PIANINI, DANILO",{'weight': 0.3}
"OMICINI, ANDREA","MONTAGNA, SARA",{'weight': 0.8}
"OMICINI, ANDREA",Stefano Mariani,{'weight': 0.05}
"OMICINI, ANDREA","SARTOR, GIOVANNI",{'weight': 0.1}
"OMICINI, ANDREA","CEVENINI, CLAUDIA",{'weight': 0.05}
"OMICINI, ANDREA","CERNO, ITALO",{'weight': 0.05}
"OMICINI, ANDREA","MOLESINI, AMBRA",{'weight': 1.35}
"OMICINI, ANDREA","TORRONI, PAOLO",{'weight': 0.65}
"OMICINI, ANDREA","OLIVA, ENRICO",{'weight': 0.65}
"OMICINI, ANDREA","CONTUCCI, PIERLUIGI",{'weight': 0.15}
"OMICINI, ANDREA","NARDINI, ELENA",{'weight': 0.75}
"OMICINI, ANDREA","MATTEUCCI, MARIA CRISTINA",{'weight': 0.15}
