Source,Target,Attributes
"MARCHETTI, LUCA","SALOMONI, PAOLA",{'weight': 0.05}
"MARCHETTI, LUCA","PRANDI, CATIA",{'weight': 0.05}
"MARCHETTI, LUCA","ROCCETTI, MARCO",{'weight': 0.05}
"MARCHETTI, LUCA","MARFIA, GUSTAVO",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","ROCCETTI, MARCO",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","MARFIA, GUSTAVO",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","SALOMONI, PAOLA",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","Prandi, Catia",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","GNINGAYE KENGNI, FAUSTINE LINDA",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","BAZZOLI, FRANCO",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","MONTAGNANI, MARCO",{'weight': 0.05}
"ROFFILLI, MATTEO","CACCIAGUERRA, STEFANO",{'weight': 0.2}
"ROFFILLI, MATTEO","MIRRI, SILVIA",{'weight': 0.1}
"ROFFILLI, MATTEO","SALOMONI, PAOLA",{'weight': 0.1}
"ROFFILLI, MATTEO","FERRETTI, STEFANO",{'weight': 0.05}
"ROFFILLI, MATTEO","ROCCETTI, MARCO",{'weight': 0.1}
"ROFFILLI, MATTEO","LOMI, ALESSANDRO",{'weight': 0.05}
"BOARI, MAURELIO","CORRADI, ANTONIO",{'weight': 0.1}
"BOARI, MAURELIO","ROCCETTI, MARCO",{'weight': 0.1}
"BOARI, MAURELIO",M. Colajanni,{'weight': 0.05}
F. Vitali,"SALOMONI, PAOLA",{'weight': 0.05}
F. Vitali,"DONATIELLO, LORENZO",{'weight': 0.05}
F. Vitali,"MARTINI, SIMONE",{'weight': 0.05}
F. Vitali,"ROCCETTI, MARCO",{'weight': 0.05}
"VITALI, FABIO","MIRRI, SILVIA",{'weight': 0.25}
"VITALI, FABIO","SALOMONI, PAOLA",{'weight': 0.25}
"VITALI, FABIO","CIANCARINI, PAOLO",{'weight': 0.55}
"VITALI, FABIO","AMOROSO, ALESSANDRO",{'weight': 0.05}
"VITALI, FABIO","ROCCETTI, MARCO",{'weight': 0.05}
"VITALI, FABIO","MARFIA, GUSTAVO",{'weight': 0.05}
"DONATIELLO, LORENZO","SALOMONI, PAOLA",{'weight': 0.05}
"DONATIELLO, LORENZO","MARTINI, SIMONE",{'weight': 0.05}
"DONATIELLO, LORENZO","ROCCETTI, MARCO",{'weight': 0.05}
"MATTEUCCI, GIOVANNI","MARFIA, GUSTAVO",{'weight': 0.25}
"MATTEUCCI, GIOVANNI","TOLIC, INES",{'weight': 0.05}
"MATTEUCCI, GIOVANNI","MASCIO, ANTONELLA",{'weight': 0.05}
"MATTEUCCI, GIOVANNI","ROCCETTI, MARCO",{'weight': 0.25}
"MATTEUCCI, GIOVANNI","AMOROSO, ALESSANDRO",{'weight': 0.05}
"MATTEUCCI, GIOVANNI","BERTUCCIOLI, CRISTIAN",{'weight': 0.1}
"MATTEUCCI, GIOVANNI","MARCOMINI, ANDREA",{'weight': 0.15}
"CONFORTI, VITO","FERRETTI, STEFANO",{'weight': 0.05}
"CONFORTI, VITO","MIRRI, SILVIA",{'weight': 0.05}
"CONFORTI, VITO","ROCCETTI, MARCO",{'weight': 0.05}
"LOMI, ALESSANDRO","CACCIAGUERRA, STEFANO",{'weight': 0.05}
"LOMI, ALESSANDRO","ROCCETTI, MARCO",{'weight': 0.05}
"SCIUTTO, GIORGIA","MAZZEO, ROCCO",{'weight': 0.1}
"SCIUTTO, GIORGIA","MIRRI, SILVIA",{'weight': 0.05}
"SCIUTTO, GIORGIA","PALAZZI, CLAUDIO ENRICO",{'weight': 0.05}
"SCIUTTO, GIORGIA","ROCCETTI, MARCO",{'weight': 0.05}
"MARTINI, SIMONE","SALOMONI, PAOLA",{'weight': 0.05}
"MARTINI, SIMONE","ROCCETTI, MARCO",{'weight': 0.05}
"GNINGAYE KENGNI, FAUSTINE LINDA","ROCCETTI, MARCO",{'weight': 0.05}
