Source,Target,Attributes
"CROATTI, ANGELO","RICCI, ALESSANDRO",{'weight': 0.4}
"CROATTI, ANGELO","VIROLI, MIRKO",{'weight': 0.3}
"CROATTI, ANGELO","OMICINI, ANDREA",{'weight': 0.05}
"CROATTI, ANGELO","MARIANI, STEFANO",{'weight': 0.05}
"CROATTI, ANGELO","PIANINI, DANILO",{'weight': 0.15}
"VIROLI, MIRKO","RICCI, ALESSANDRO",{'weight': 3.05}
"VIROLI, MIRKO","OMICINI, ANDREA",{'weight': 4.15}
"VIROLI, MIRKO","MARIANI, STEFANO",{'weight': 0.1}
"VIROLI, MIRKO","PIANINI, DANILO",{'weight': 1.4}
"PIANINI, DANILO","RICCI, ALESSANDRO",{'weight': 0.15}
"PIANINI, DANILO","OMICINI, ANDREA",{'weight': 0.3}
"PIANINI, DANILO","MARIANI, STEFANO",{'weight': 0.1}
"MARIANI, STEFANO","RICCI, ALESSANDRO",{'weight': 0.05}
"MARIANI, STEFANO","OMICINI, ANDREA",{'weight': 1.35}
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
