Source,Target,Attributes
Franco Callegati,Andrea Melis,{'weight': 0.3}
Franco Callegati,Marco Prandini,{'weight': 0.3}
Franco Callegati,Maurizio Gabbrielli,{'weight': 0.1}
Franco Callegati,Saverio Giallorenzo,{'weight': 0.05}
Maurizio Gabbrielli,Saverio Giallorenzo,{'weight': 0.1}
Maurizio Gabbrielli,Andrea Melis,{'weight': 0.05}
Maurizio Gabbrielli,Marco Prandini,{'weight': 0.05}
Andrea Melis,Marco Prandini,{'weight': 0.35}
Andrea Melis,Saverio Giallorenzo,{'weight': 0.15}
Marco Prandini,Saverio Giallorenzo,{'weight': 0.1}
