Paper Title,Contributors
Prediction and Trading of Dow Jones from Twitter: A Boosting Text Mining Method with Relevant Tweets Identification,Gianluca Moro; Roberto Pasolini; Giacomo Domeniconi; Andrea Pagliarani; Andrea Roli
A Cascade Dense Connection Fusion Network for Depth Completion,R. Fan; M. Poggi; S. Mattoccia
Mdal Industrial Anomaly Detection by Crossmodal Feature Mapping,Alex Costanzino; Pierluigi Zama Ramirez; Giuseppe Lisanti; Luigi Di Stefano
Patent Clearinghouse and Technology Diffusion: What is the Contribution of Arbitration Agreements?,Emanuele Bacchiega
Empowering Cloud Computing With Network Acceleration: A Survey,"Rosa, Lorenzo; Foschini, Luca; Corradi, Antonio"
Proactive-reactive microservice architecture global scaling,"Bacchiani, Lorenzo; Bravetti, Mario; Giallorenzo, Saverio; Gabbrielli, Maurizio; Zavattaro, Gianluigi; Zingaro, Stefano Pio"
From Large Language Models to Small Logic Programs: Building Global Explanations from Disagreeing Local Post-hoc Explainers,
Generation of Clinical Skin Images with Pathology with Scarce Data,Andrea Borghesi; Roberta Calegari
NTIRE 2024 Challenge on HR Depth from Images of Specular and Transparent Surfaces,Zama Ramirez P.; Tosi F.; Di Stefano L.; Costanzino A.; Poggi M.; Salti S.; Mattoccia S.
Designing Secure and Resilient Cyber-Physical Systems: a Model-based Moving Target Defense Approach,Mazzocca C.; Montanari R.
Compliance checking on first-order knowledge with conflicting and compensatory norms: a comparison among currently available technologies,"Calegari, Roberta; Governatori, Guido; Pisano, Giuseppe"
Automatic planning in cognitive training: application to multiple sclerosis,Mauro Gaspari; Federica Pinardi; Sara Zuppiroli
Only the Ugly Face? A Theoretical Model of Brand Dilution,"Bacchiega, E; Colucci, M; Denicolo, V"
Long-term follow-up of web-based and group-based behavioural intervention in NAFLD in a real world clinical setting,"Petroni, Maria Letizia; Colosimo, Santo; Brodosi, Lucia; Bertini, Flavio; Montesi, Danilo; Marchesini, Giulio"
Colossal Trajectory Mining: A unifying approach to mine behavioral mobility patterns,Francia M.; Gallinucci E.; Golfarelli M.
Emerging technologies in varied domains: Perspectives and future research directions,"Martina Benvenuti; Claudia Scorolli; Angelo Di Iorio"
Disruptive situation detection on public transport through speech emotion recognition,"Eleonora Mancini
; Andrea Galassi; Federico Ruggeri; Paolo Torroni"
An Efficient Algorithm Deciding Chaos for Linear Cellular Automata over (Z/mZ)n with Applications to Data Encryption,"Margara, Luciano"
Choral: Object-Oriented Choreographic Programming,"Giallorenzo, Saverio"
FRCSyn Challenge at WACV 2024:Face Recognition Challenge in the Era of Synthetic Data,Nicolò Di Domenico; Guido Borghi; Lorenzo Pellegrini
Explaining Cube Measures Through Intentional Analytics,Matteo Francia; Stefano Rizzi
Ranflood: A mitigation tool based on the principles of data flooding against ransomware,"Berardi, Davide; Giallorenzo, Saverio; Melis, Andrea; Prandini, Marco"
"Evidence, my Dear Watson: Abstractive dialogue summarization on learnable relevant utterances",Paolo Italiani; Giacomo Frisoni; Gianluca Moro; Antonella Carbonaro; Claudio Sartori
Data Science for Health Image Alignment: A User-Friendly Open-Source ImageJ/Fiji Plugin for Aligning Mdality/Immunohistochemistry/Immunofluorescence 2D Microscopy Images,"Piccinini, Filippo
; Tumedei, Maria Maddalena; Stellato, Mariachiara; Remondini, Daniel; Giampieri, Enrico; Martinelli, Giovanni; Castellani, Gastone; Carbonaro, Antonella"
EneA-FL: Energy-aware orchestration for serverless federated learning,Andrea Agiollo; Paolo Bellavista; Matteo Mendula; Andrea Omicini
Roles and Challenges of Semantic Intelligence in Healthcare Cognitive Computing,"Antonella Carbonaro
"
τJUpdate: An update language for time-varying JSON data,"Grandi, Fabio"
Management of Implicit Ontology Changes Generated by Non-conservative JSON Instance Updates in the τJOWL Environment,"Grandi, Fabio"
Next Generation Edge-Cloud Continuum Architecture for Structural Health Monitoring,"Gigli, Lorenzo; Zyrianoff, Ivan
; Zonzini, Federica; Bogomolov, Denis; Testoni, Nicola; Felice, Marco Di; De Marchi, Luca; Marzani, Alessandro"
On-Device Learning with Binary Neural Networks,Lorenzo Vorabbi; Davide Maltoni; Stefano Santi
Enabling On-Device Continual Learning with Binary Neural Networks and Latent Replay,Lorenzo Vorabbi; Davide Maltoni; Guido Borghi; Stefano Santi
"Cobots, Complexities, and Campfire: Report on the 4th HRI Summer School",Martina Bacaro
"Two-dimensional segmentation fusion tool: an extensible, free-to-use, user-friendly tool for combining different bidimensional segmentations","Piccinini, Filippo
; Drudi, Lorenzo; Carbonaro, Antonella; Martinelli, Giovanni; Castellani, Gastone"
Actor-Based Designs for Distributed Self-organisation Programming,Roberto Casadei; Mirko Viroli
The eXchange Calculus (XC): A functional programming language design for distributed collective systems,Casadei R.; Viroli M.
Representation of Machine Learning Models to Enhance Simulation Capabilities Within Digital Twins in Personalized Healthcare,Alberto Marfoglia; Filippo Nardini; Sabato Mellone; Antonella Carbonaro
GUMBLE: Uncertainty-Aware Conditional Mobile Data Generation using Bayesian Learning,"Verdone, Roberto
; Lombardi, Michele
; Amorosa, Lorenzo Mario"
Booster: A Benchmark for Depth From Images of Specular and Transparent Surfaces,Pierluigi Zama Ramirez; Alex Costanzino; Fabio Tosi; Matteo Poggi; Samuele Salti; Stefano Mattoccia; Luigi Di Stefano
"Reinforcement Learning for Generative AI: State of the Art, Opportunities and Open Research Challenges","Franceschelli, Giorgio; Musolesi, Mirco"
The effectiveness of an adaptive method to analyse the transition between tumour and peritumour for answering two clinical questions in cancer imaging,Margherita Mottola; Rita Golfieri; Alessandro Bevilacqua
Flexible zero trust architecture for the cybersecurity of industrial IoT infrastructures,"Zanasi, Claudio; Russo, Silvio; Colajanni, Michele"
An efficient quantum algorithm for ensemble classification using bagging,"Macaluso, Antonio; Clissa, Luca; Lodi, Stefano; Sartori, Claudio"
"Il potere delle piattaforme come infrastrutture. Tecnica, estetica, egemonia",Mattia Frapporti
A Low Cost Early Warning Method for Infectious Diseases with Asymptomatic Carriers,"Mauro Gaspari
"
