Source,Target,Weight
Fabrizio Montesi,Claudio Guidi,0.05
Fabrizio Montesi,Ivan Lanese,0.05
Fabrizio Montesi,Manuel Mazzara,0.05
Palazzi C. E.,Bujari A.,0.2
Palazzi C. E.,Quadrini M.,0.05
Palazzi C. E.,Ferretti S.,0.05
Gianni Tumedei,Mariagrazia Benassi,0.05
Gianni Tumedei,Davide Paolillo,0.05
Gianni Tumedei,Matilde Spinoso,0.05
Gianni Tumedei,Sara Giovagnoli,0.05
Gianni Tumedei,Luca Formica,0.05
Gianni Tumedei,Catia Prandi,0.05
Silvio Peroni,Riccardo Fini,0.05
Silvio Peroni,Monica Bartolini,0.05
Silvio Peroni,Paolo Ciancarini,0.05
Silvio Peroni,Angelo Di Iorio,0.05
Silvio Peroni,Marcello Maria Mariani,0.05
Silvio Peroni,Francesco Poggi,0.05
Silvio Peroni,Riccardo Silvi,0.05
Silvio Peroni,Maurizio Sobrero,0.05
Silvio Peroni,Laura Toschi,0.05
Silvio Peroni,Marilena Daquino,0.05
Silvio Peroni,Francesca Mambelli,0.05
Silvio Peroni,Francesca Tomasi,0.05
Silvio Peroni,Fabio Vitali,0.05
Faldella E.,Prandini M.,0.2
Guidi C.,Lanese I.,0.05
Evangelisti L.,Di Modica G.,0.1
Evangelisti L.,Foschini L.,0.1
Evangelisti L.,Maris A.,0.05
Evangelisti L.,Melandri S.,0.05
Evangelisti L.,Corradi A.,0.05
Ira Vannini,Dina Guglielmi,0.1
Ira Vannini,Elena Luppi,0.1
Ira Vannini,Barbara Neri,0.05
Ira Vannini,Enrico Sangiorgi,0.1
Ira Vannini,Paola Salomoni,0.1
Ira Vannini,Francesco Ubertini,0.05
Elena Cervellati,Silvia Garzarella,0.05
Elena Cervellati,Lorenzo Stacchio,0.05
Elena Cervellati,Pasquale Cascarano,0.05
Elena Cervellati,Allegra De Filippo,0.05
Elena Cervellati,Gustavo Marfia,0.05
"Trotta, Angelo","Sciullo, Luca",0.2
"Trotta, Angelo","Montori, Federico",0.25
"Trotta, Angelo","Bononi, Luciano",0.5
"Trotta, Angelo","Di Felice, Marco",0.65
"Trotta, Angelo","Elias, Jocelyne",0.05
"Trotta, Angelo","Vallasciani, Giacomo",0.05
"Trotta, Angelo","Montecchiari, Leonardo",0.1
"Trotta, Angelo","Gigli, Lorenzo",0.05
"Trotta, Angelo","Bellone, Lorenzo",0.05
"Trotta, Angelo","Zyrianoff, Ivan",0.05
"Trotta, Angelo","Bedogni, Luca",0.1
"Trotta, Angelo","Canegallo, Roberto",0.05
"Trotta, Angelo","CARBONE, FABIO",0.05
"Trotta, Angelo","Scarselli, Eleonora Franchi",0.05
"Trotta, Angelo","Perilli, Luca",0.05
"Trotta, Angelo","Cinotti, Tullio Salmon",0.05
"Trotta, Angelo","Felice, Marco Di",0.05
"Montecchiari, Leonardo","Gigli, Lorenzo",0.05
"Montecchiari, Leonardo","Bellone, Lorenzo",0.05
"Montecchiari, Leonardo","Di Felice, Marco",0.1
"Montecchiari, Leonardo","Bononi, Luciano",0.05
Al Jawarneh Isam Mashhour Hasan,Bellavista P.,0.05
Al Jawarneh Isam Mashhour Hasan,Foschini L.,0.05
Al Jawarneh Isam Mashhour Hasan,Montanari R.,0.05
"Di Luzio, Andrea","Bartolini, Ilaria",0.05
