Id,Community
Fabrizio Montesi,14
Palazzi C. E.,8
Gianni Tumedei,14
Silvio Peroni,14
Faldella E.,8
Guidi C.,8
Evangelisti L.,8
Ira Vannini,14
Elena Cervellati,14
"Trotta, Angelo",4
"Montecchiari, Leonardo",4
Al Jawarneh Isam Mashhour Hasan,8
"Di Luzio, Andrea",4
and Saverio Giallorenzo,14
"Antelmi, Elena",4
"Beneventi, Francesco",4
"Visani, Giorgio",4
Corradi A.,8
Ludovico Chieffallo,14
Andrea Melis,14
"Mancini, Eleonora",4
Grasselli C.,8
"Andrisano, Oreste",4
Manca L.,8
"Artioli, Marcello",4
Zanni A.,8
"Calvio, Alessandro",4
Gigli L.,8
Roberto Verdone,14
"Mattivi, Pietro",4
"Borghetti, Alberto",4
Davide Berardi,14
Giuseppe Lisanti,14
"Mellone, Sabato",4
Valentina Carriero,14
Angelo Garofalo,14
Dina Guglielmi,14
"Bellavista, Paolo",4
"Bottura, Riccardo",4
Luca Poluzzi,14
Canegallo R.,8
"Foschini, Luca",4
Giovanni V. Spinelli,14
Lorenzo Rosa,14
Riccardo Silvi,14
"Paolini, Giacomo",4
Crafa S.,8
"Pasolini, Gianni",4
Andrea Schimmenti,14
"De Filippo, Allegra",4
Francesco Maria Sabatini,14
"SCOTECE, DOMENICO",4
Elisa Marchetto,14
"Martuscelli, Giuseppe",4
"Burrello, Alessio",4
Veschetti A.,8
"Stefanelli, Cesare",4
Monga M.,8
Laneve C.,8
"Accorsi, Riccardo",4
"Bogomolov, Denis",4
Monica Bartolini,14
Luca Formica,14
Barakati P.,8
Maris A.,8
Penzo W.,8
"Martelli, Barbara",4
Solimando M.,8
Giuseppe Martuscelli,14
Elvis Mazzoni,14
Montori F.,8
Silvia bertacchi,14
Matteo Mendula,14
Laura Toschi,14
Luca Benini,14
Foschini L.,8
Rubano Vincenzo,14
Francesca Del Bonifro,14
Pier Cesare Rivoltella,14
Matteo Orsoni,14
Andrea Garbugli,14
"Scotece, Domenico",4
"Vallasciani, Giacomo",4
"Garofalo, Angelo",4
Maurizio Sobrero,14
Moazzeni S.,8
Zyrianoff I.,8
"Conti, Francesco",4
"Bellone, Lorenzo",4
Davide Rossi,14
Pasquale Cascarano,14
Tisbeni S. R.,8
Scotece D.,8
Donatiello L.,8
"Corradi, Antonio",4
"Tortorella, Yvan",4
"Milano, Michela",4
Berardi D.,8
Del Bonifro F.,8
"Lombardi, Michele",4
Bambi Martina,14
Aguzzi C.,8
"Montagna, Fabio",4
Francesca Tomasi,14
Martina Benvenuti,14
Stefano Zacchiroli,14
Talevi I.,8
Bononi L.,8
Lorenzo Bacchiani,14
"CASELLI, FEDERICO",4
Francesco Balzan,14
Paolillo Davide,14
Trotta A.,8
Rosa L.,8
Gabbrielli M.,8
"Herrera Gonzalez, Juan Luis",4
"Manzini, Riccardo",4
"Borelli, Elena",4
"Ubertini, Francesco",4
Giuseppe Tagliavini,14
Di Modica G.,8
"Mello, Paola",4
Nicolo' Marchetti,14
Elena loli Piccolomini,14
"Franchi, Eleonora",4
"Zauli, Matteo",4
Mariagrazia Benassi,14
Zambon Tommaso,14
Marco Torello,14
Francesco Poggi,14
Andrea Sebastiani,14
"Misino, Eleonora",4
Nazareno Bruschi,14
Allegra De Filippo,14
Ribeiro Zyrianoff I.,8
Bertini F.,8
Mazzoni Elvis,14
Sbaraglia M.,8
Pierluigi Contucci,14
Sergio Brasini,14
E. Morotti,14
Domenico Scotece,14
Mauro J.,8
"Caracausi, Maria",4
"Rossi, Davide",4
Benvenuti Martina,14
Nicola Dragoni,14
Luca Tavasci,14
"Bartolini, Ilaria",4
Guidi F.,8
"De Lisa, Angelo",4
"Sindaco, Simone",4
"Ardebili, Mohsen Seyedkazemi",4
"Piovesan, Allison",4
"Herrera, Juan Luis",4
Pernafini A.,8
Romandini N.,8
Zyrianoff Ivan Dimitry Ribeiro,8
"NOOR, ASMA",14
"CONTIGIANI, RICCARDO",4
Bedogni L.,8
"Masotti, Diego",4
SIMONE MARTINI,14
Gianna Bertacchi,14
Iacobelli A.,8
"Solimando, Michele",4
"PASCARELLA, PIETRO",4
Palmirani Monica,14
"Babaoglu, Ozalp",4
Elena Loli Piccolomini,14
"Sciullo, Luca",4
Zyrianoff Ivan Dimitry,8
"Scalzotto, Luca",4
"Franceschelli, Giorgio",4
"Cavallari, Riccardo",4
De Palma G.,8
"Chesani, Federico",4
Andrea Marongiu,14
"Tarchi, Daniele",4
"Benini, Luca",4
Lorenzo Rinieri,14
Di Felice M.,8
"Zyrianoff, Ivan",4
"Gigli, Lorenzo",4
Giallorenzo S.,8
"Di Modica, Giuseppe",4
Giachino E.,8
Brogi A.,8
Testoni Nicola,8
Davide Paolillo,14
Liu T.,8
"SOLIMANDO, MICHELE",4
"Felice, Marco Di",4
Zauli M.,8
Luca Casini,14
"Cilloni, Marco",4
"Nucci, Carlo Alberto",4
Ulidowski I.,8
Borsatti D.,8
"Brasini, Francesco",4
Marco Prandini,14
Gambini Matteo,14
"Kamali, Soroosh",4
"Carlo Maiorano Picone, Pasquale",4
"Apollonio, Fabrizio Ivan",4
Marilena Daquino,14
Melandri S.,8
Tong Liu,14
Durier A.,8
Eduart Uzeir,14
Maurizio Gabbrielli,14
Lorenzo Monti,14
Sindaco S.,8
"Neri, Giacomo",4
"Costantini, Alessandro",4
Venanzi R.,8
"Molan, Martin",4
Elena Lamberti,14
"Fava, Fabio",4
"De Marchi, Luca",4
"Galletti, Matteo",4
Mazzoni Noemi,14
Damiana Lazzaro,14
Giorgio dall'Osso,14
E. Loli Piccolomini,14
Gori G.,8
"Cesarini, Daniele",4
Marcello Maria Mariani,14
Zonzini F.,8
Scarselli E. F.,8
Iacopo Talevi,14
"Pelleri, Maria Chiara",4
Leo L. S.,8
Zavattaro G.,8
Saverio Giallorenzo,14
"Tabanelli, Enrico",4
"Tisbeni, Simone Rossi",4
Francesco Sovrano,14
D'Angelo G.,8
"Cesini, Daniele",4
Padovani L.,8
Vitali Fabio,14
